"Date","Time","Open","High","Low","Close","Up","Down","VWAP","UpperBand","LowerBand"
11/24/2025,18:01,6726.25,6727.75,6723.75,6725.75,397,483,0.00,0.00,0.00
11/24/2025,18:02,6726.50,6727.75,6725.50,6727.75,120,67,0.00,0.00,0.00
11/24/2025,18:03,6727.75,6727.75,6725.25,6726.25,66,69,0.00,0.00,0.00
11/24/2025,18:04,6726.50,6728.25,6726.00,6727.00,314,166,0.00,0.00,0.00
11/24/2025,18:05,6727.00,6727.25,6725.25,6725.25,38,124,0.00,0.00,0.00
11/24/2025,18:06,6725.50,6726.50,6725.00,6726.25,65,75,0.00,0.00,0.00
11/24/2025,18:07,6726.25,6727.25,6725.75,6725.75,66,56,0.00,0.00,0.00
11/24/2025,18:08,6725.75,6726.00,6724.50,6724.75,44,77,0.00,0.00,0.00
11/24/2025,18:09,6724.75,6725.00,6723.75,6724.00,79,100,0.00,0.00,0.00
11/24/2025,18:10,6724.00,6724.50,6722.75,6723.25,141,120,0.00,0.00,0.00
11/24/2025,18:11,6723.25,6724.25,6722.75,6724.00,83,82,0.00,0.00,0.00
11/24/2025,18:12,6723.75,6724.00,6722.50,6723.00,39,101,0.00,0.00,0.00
11/24/2025,18:13,6723.00,6723.50,6722.50,6723.25,55,86,0.00,0.00,0.00
11/24/2025,18:14,6723.25,6724.50,6723.00,6724.25,70,27,0.00,0.00,0.00
11/24/2025,18:15,6724.25,6725.50,6723.75,6724.75,89,89,0.00,0.00,0.00
11/24/2025,18:16,6724.75,6724.75,6723.00,6723.25,25,67,0.00,0.00,0.00
11/24/2025,18:17,6723.00,6723.25,6722.00,6722.75,52,97,0.00,0.00,0.00
11/24/2025,18:18,6722.75,6723.50,6722.50,6723.50,60,15,0.00,0.00,0.00
11/24/2025,18:19,6723.25,6725.50,6723.25,6724.50,65,74,0.00,0.00,0.00
11/24/2025,18:20,6724.50,6725.00,6723.50,6723.75,58,99,0.00,0.00,0.00
11/24/2025,18:21,6723.75,6724.25,6723.50,6723.50,21,39,0.00,0.00,0.00
11/24/2025,18:22,6723.50,6725.00,6723.50,6724.75,97,38,0.00,0.00,0.00
11/24/2025,18:23,6724.75,6725.25,6724.00,6724.00,42,54,0.00,0.00,0.00
11/24/2025,18:24,6723.75,6724.00,6723.50,6723.50,27,44,0.00,0.00,0.00
11/24/2025,18:25,6723.50,6723.75,6723.25,6723.50,12,34,0.00,0.00,0.00
11/24/2025,18:26,6723.50,6724.00,6723.25,6723.50,122,45,0.00,0.00,0.00
11/24/2025,18:27,6723.50,6724.00,6723.25,6723.50,45,38,0.00,0.00,0.00
11/24/2025,18:28,6723.75,6724.25,6723.25,6723.75,52,52,0.00,0.00,0.00
11/24/2025,18:29,6724.00,6724.00,6723.50,6724.00,45,26,0.00,0.00,0.00
11/24/2025,18:30,6724.00,6724.00,6723.00,6723.50,15,39,0.00,0.00,0.00
11/24/2025,18:31,6723.25,6724.00,6723.00,6723.75,86,37,0.00,0.00,0.00
